N, nbOpSEL, tExecSEL (ms), nbOpBUL, tExecBUL (ms), nbOpINS, tExecINS (ms)
329,483315,0.161,697178,0.224,349069,0.069
330,486286,0.172,702372,0.24,351223,0.076
331,489256,0.184,706984,0.258,353372,0.08
332,492143,0.147,709976,0.203,355408,0.063
333,495011,0.16,714467,0.222,357415,0.069
334,498156,0.164,718385,0.228,359776,0.071
335,501138,0.198,723525,0.273,361919,0.085
336,504815,0.167,729169,0.234,364962,0.072
337,507238,0.156,731951,0.217,366369,0.067
338,509963,0.183,736518,0.255,368162,0.08
339,512295,0.191,739475,0.266,369442,0.083
340,516656,0.194,745905,0.271,373351,0.084
341,518908,0.178,749645,0.25,374515,0.077
342,522123,0.194,753370,0.27,376926,0.085
343,525367,0.184,757487,0.254,379369,0.079
344,528309,0.18,763646,0.252,381413,0.079
345,531887,0.221,768158,0.308,384280,0.096
346,534197,0.189,772624,0.265,385494,0.082
347,537599,0.192,776844,0.271,388121,0.084
348,540503,0.2,780856,0.28,390096,0.087
349,543913,0.193,785042,0.269,392724,0.084
350,546884,0.169,790782,0.234,394774,0.073
351,549733,0.173,795296,0.242,396662,0.075
352,553650,0.181,799431,0.255,399933,0.079
353,556676,0.184,804607,0.258,402040,0.081
354,559463,0.185,809208,0.263,403832,0.082
355,562682,0.176,813263,0.245,406180,0.076
356,565252,0.184,817644,0.257,407680,0.08
357,568915,0.185,822620,0.26,410594,0.081
358,572418,0.198,826667,0.276,413296,0.086
359,575643,0.195,831936,0.272,415631,0.087
360,579016,0.175,836434,0.245,418153,0.076
361,581160,0.181,839999,0.253,419072,0.079
362,585316,0.201,846827,0.28,422602,0.087
363,589034,0.192,851711,0.268,425557,0.083
364,591861,0.193,855496,0.271,427349,0.085
365,595012,0.173,860478,0.244,429556,0.076
366,599171,0.175,866615,0.247,433069,0.078
367,601759,0.195,870318,0.271,434535,0.084
368,604970,0.192,875180,0.272,436804,0.085
369,608199,0.196,878869,0.273,439093,0.086
370,610805,0.192,884330,0.272,440567,0.084
371,614337,0.183,888813,0.256,443238,0.08
372,618428,0.193,894993,0.269,446630,0.084
373,621658,0.181,899056,0.255,448900,0.08
374,624056,0.191,902773,0.267,450081,0.084
375,627286,0.19,907500,0.265,452339,0.083
376,631264,0.182,914059,0.255,455566,0.08
377,634629,0.181,919275,0.256,457989,0.08
378,637714,0.188,922523,0.265,460043,0.083
379,641016,0.191,927442,0.272,462373,0.085
380,644849,0.184,933852,0.259,465390,0.081
381,648991,0.182,938107,0.256,468803,0.081
382,650812,0.2,941603,0.282,469193,0.089
383,655169,0.219,947840,0.307,472874,0.097
384,658173,0.194,952771,0.275,474792,0.087
385,661842,0.205,957592,0.288,477570,0.091
386,666051,0.192,964891,0.274,481044,0.086
387,668986,0.192,967941,0.273,482856,0.085
388,672531,0.209,973211,0.296,485456,0.093
389,675729,0.194,977470,0.276,487600,0.086
390,678975,0.202,982628,0.286,489801,0.089
391,683008,0.2,988865,0.285,493019,0.089
392,686467,0.202,994245,0.285,495487,0.09
393,689790,0.216,998982,0.306,497772,0.096
394,693213,0.215,1004335,0.306,500184,0.095
395,696679,0.204,1008637,0.286,502644,0.091
