N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
414, 765427, 14381, 0.274, 0.090
415, 768710, 14438, 0.234, 0.026
416, 772541, 14098, 0.232, 0.027
417, 775739, 14343, 0.232, 0.037
418, 780093, 14709, 0.241, 0.030
419, 784576, 14207, 0.257, 0.041
420, 788370, 15030, 0.238, 0.031
421, 791599, 14995, 0.239, 0.029
422, 795935, 13621, 0.268, 0.058
423, 799494, 14708, 0.262, 0.057
424, 802173, 14210, 0.263, 0.048
425, 806894, 14665, 0.257, 0.043
426, 809865, 14664, 0.293, 0.070
427, 814627, 14688, 0.263, 0.024
428, 818371, 14799, 0.237, 0.021
429, 822139, 14807, 0.245, 0.054
430, 825846, 15183, 0.252, 0.078
431, 829318, 15286, 0.264, 0.083
432, 833803, 14830, 0.271, 0.068
433, 836668, 15109, 0.272, 0.053
434, 841644, 15285, 0.249, 0.051
435, 845237, 15473, 0.279, 0.090
436, 849076, 15552, 0.319, 0.113
437, 853161, 14736, 0.291, 0.092
438, 856041, 15582, 0.268, 0.055
439, 860928, 15557, 0.314, 0.102
440, 864885, 15961, 0.352, 0.151
441, 868102, 15885, 0.343, 0.129
442, 872522, 15140, 0.338, 0.140
443, 877035, 16228, 0.284, 0.068
444, 879862, 15446, 0.294, 0.070
445, 883843, 15672, 0.311, 0.107
446, 888796, 15753, 0.379, 0.144
447, 892208, 16273, 0.321, 0.103
448, 897612, 16068, 0.310, 0.106
449, 900195, 15825, 0.341, 0.123
450, 903979, 16801, 0.345, 0.120
451, 908787, 15826, 0.564, 0.292
452, 912427, 16444, 0.791, 0.259
453, 916905, 16247, 0.914, 0.326
454, 919611, 16470, 0.966, 0.358
455, 924844, 16197, 0.943, 0.330
456, 929361, 16471, 0.825, 0.355
457, 932833, 16018, 0.759, 0.271
458, 936939, 15817, 0.733, 0.297
459, 940669, 16164, 0.850, 0.320
460, 944234, 16666, 0.759, 0.265
461, 949317, 16465, 0.719, 0.212
462, 953480, 16991, 0.911, 0.369
463, 957605, 17144, 0.955, 0.383
464, 962253, 17384, 0.867, 0.313
465, 965626, 16792, 0.746, 0.342
466, 970066, 17205, 0.902, 0.343
467, 973960, 17626, 0.895, 0.327
468, 978667, 17479, 0.915, 0.302
469, 983143, 17112, 0.925, 0.337
470, 986452, 17230, 1.120, 0.508
471, 990783, 17110, 0.743, 0.283
472, 993826, 17607, 0.698, 0.247
473, 998560, 17541, 0.689, 0.259
474, 1003726, 16747, 0.798, 0.386
475, 1006635, 17963, 0.479, 0.269
476, 1011563, 17494, 0.332, 0.097
477, 1016222, 17325, 0.730, 0.366
