N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
392, 495303, 16976, 0.121, 0.054
393, 498156, 16778, 0.120, 0.042
394, 501326, 17560, 0.113, 0.041
395, 503064, 17869, 0.128, 0.048
396, 505053, 17322, 0.095, 0.026
397, 508100, 17039, 0.092, 0.020
398, 510708, 17474, 0.098, 0.025
399, 513506, 17649, 0.098, 0.022
400, 515265, 17721, 0.107, 0.041
401, 517976, 17021, 0.109, 0.056
402, 521508, 17669, 0.104, 0.037
403, 522793, 17721, 0.109, 0.042
404, 525593, 17647, 0.115, 0.059
405, 527943, 17881, 0.124, 0.045
406, 531931, 18099, 0.106, 0.027
407, 533633, 17402, 0.108, 0.036
408, 536260, 19013, 0.134, 0.056
409, 539215, 18319, 0.132, 0.048
410, 542064, 17867, 0.118, 0.047
411, 543700, 18581, 0.124, 0.047
412, 546376, 17827, 0.114, 0.048
413, 549843, 18032, 0.114, 0.038
414, 552180, 18694, 0.119, 0.043
415, 554299, 18770, 0.100, 0.014
416, 557126, 18327, 0.100, 0.019
417, 559124, 18645, 0.100, 0.012
418, 562619, 19121, 0.105, 0.015
419, 566278, 18468, 0.111, 0.021
420, 569035, 19539, 0.104, 0.020
421, 571053, 19493, 0.104, 0.018
422, 574504, 17706, 0.116, 0.028
423, 576941, 19121, 0.113, 0.026
424, 578228, 18472, 0.114, 0.024
425, 582165, 19064, 0.112, 0.021
426, 583821, 19063, 0.128, 0.028
427, 587801, 19094, 0.115, 0.013
428, 590452, 19239, 0.102, 0.010
429, 593128, 19248, 0.106, 0.024
430, 595720, 19738, 0.110, 0.035
431, 598003, 19871, 0.114, 0.038
432, 601596, 19278, 0.119, 0.031
433, 603078, 19641, 0.120, 0.035
434, 607299, 19870, 0.107, 0.021
435, 609717, 20115, 0.123, 0.051
436, 612451, 20216, 0.140, 0.052
437, 615498, 19156, 0.127, 0.043
438, 616973, 20256, 0.117, 0.026
439, 621053, 20224, 0.138, 0.051
440, 623919, 20749, 0.155, 0.078
441, 625816, 20650, 0.148, 0.055
442, 629274, 19682, 0.146, 0.060
443, 632846, 21096, 0.124, 0.035
444, 634221, 20079, 0.128, 0.034
445, 637092, 20373, 0.134, 0.046
446, 641222, 20478, 0.165, 0.063
447, 643342, 21155, 0.139, 0.046
448, 648047, 20888, 0.135, 0.050
449, 649079, 20572, 0.148, 0.053
450, 651668, 21840, 0.150, 0.052
451, 655582, 20573, 0.255, 0.138
452, 657972, 21377, 0.367, 0.143
453, 661448, 21120, 0.426, 0.162
454, 662614, 21411, 0.447, 0.195
455, 667060, 21056, 0.431, 0.158
456, 670570, 21411, 0.375, 0.157
457, 672716, 20823, 0.353, 0.175
458, 675683, 20562, 0.330, 0.123
459, 678154, 21013, 0.391, 0.166
460, 680406, 21665, 0.349, 0.124
461, 684626, 21405, 0.335, 0.117
462, 687644, 22088, 0.423, 0.181
463, 690609, 22287, 0.436, 0.174
464, 694248, 22598, 0.399, 0.158
465, 696224, 21829, 0.338, 0.141
466, 699582, 22365, 0.413, 0.164
467, 702225, 22914, 0.406, 0.148
468, 705920, 22722, 0.412, 0.147
469, 709309, 22244, 0.420, 0.162
470, 711176, 22398, 0.510, 0.245
471, 714367, 22242, 0.341, 0.149
472, 715878, 22889, 0.317, 0.120
473, 719582, 22803, 0.313, 0.120
474, 723841, 21770, 0.405, 1.032
475, 725163, 23351, 0.215, 0.129
476, 729103, 22742, 0.145, 0.045
477, 732690, 22522, 0.339, 0.180
478, 735977, 22561, 0.137, 0.063
479, 738123, 22697, 0.129, 0.028
480, 741695, 22817, 0.132, 0.033
481, 744607, 23314, 0.127, 0.022
482, 747514, 23863, 0.153, 0.062
483, 751220, 23619, 0.137, 0.024
484, 755923, 23335, 0.153, 0.042
485, 756007, 23888, 0.154, 0.054
486, 760668, 23100, 0.136, 0.029
487, 764286, 24485, 0.134, 0.020
488, 767683, 24190, 0.127, 0.009
489, 769490, 23306, 0.132, 0.026
490, 772205, 23691, 0.131, 0.017
491, 776904, 24369, 0.129, 0.010
492, 779638, 23602, 0.134, 0.024
493, 783639, 24732, 0.135, 0.019
494, 785319, 23718, 0.150, 0.041
495, 789471, 25033, 0.151, 0.032
496, 792624, 24124, 0.178, 0.072
497, 795206, 24030, 0.151, 0.041
498, 798928, 24168, 0.165, 0.032
499, 801372, 23735, 0.165, 0.061
500, 804199, 24317, 0.144, 0.033
